order_id;date;time
8886;May 29 2016;18:58 PM
11424;2016-07-10;14:36:32
19361;Saturday,26 November, 2016;18:42 PM
7112;Apr 30 2016;12:15:54
18209;1478386800.0;21H 28M 27S
3713;04-03-16 14:45:20;00H 00M 00S
892;15-01-16 18:04:29;00:00 AM
7810;May 11 2016;19:20 PM
10155;19-06-16 20:04:41;00H 00M 00S
3824;2016-03-06;12H 37M 22S
18673;Monday,14 November, 2016;21:06 PM
16187;Sep 30 2016;13:42:13
12314;Jul 24 2016;21:31 PM
19260;Friday,25 November, 2016;15:57:45
2651;Saturday,13 February, 2016;20:59 PM
15614;Sunday,18 September, 2016;13H 45M 49S
10992;1467496800.0;20:16:40
9347;06-06-16 15:19:33;00H 00M 00S
17625;Oct 28 2016;11H 20M 42S
9981;Jun 16 2016;19:50 PM
10258;2016-06-21;18H 33M 38S
19347;2016-11-26;17:23 PM
1504;Tue 26-Jan-2016;12H 44M 38S
19883;04-12-16 16:46:20;00:00 AM
18739;Wed 16-Nov-2016;12:37:55
7781;11-05-16 13:56:21;00:00:00
20287;Sun 11-Dec-2016;13:18:39
18950;Sat 19-Nov-2016;22:12:28
5534;Sunday,03 April, 2016;17:04 PM
7866;May 12 2016;18H 33M 59S
2202;2016-02-06;15:31:14
12250;Sunday,24 July, 2016;11:49:07
14665;Friday,02 September, 2016;17H 43M 29S
2691;1455404400.0;17:52 PM
4468;Wed 16-Mar-2016;21H 13M 23S
5399;01-04-16 15:12:18;00:00 AM
4216;Sat 12-Mar-2016;18:23 PM
18459;11-11-16 13:07:53;00:00 AM
2477;11-02-16 12:20:06;00H 00M 00S
14795;Sunday,04 September, 2016;20:40 PM
16678;Sunday,09 October, 2016;13H 48M 13S
18708;15-11-16 17:10:40;00:00 AM
11615;Wed 13-Jul-2016;17H 12M 05S
16244;Sat 01-Oct-2016;12:48:18
9976;Thursday,16 June, 2016;19:02 PM
20400;Tuesday,13 December, 2016;11:38 AM
14792;Sep 4 2016;19H 17M 30S
4050;Wednesday,09 March, 2016;20H 23M 00S
20545;Dec 15 2016;18:28 PM
14122;Wednesday,24 August, 2016;11H 45M 31S
13109;2016-08-07;14:34 PM
186;Sun 03-Jan-2016;19:36 PM
4753;2016-03-21;16H 12M 25S
12569;2016-07-29;16:22 PM
6537;20-04-16 16:39:18;00:00:00
9487;1465336800.0;18:30 PM
7099;29-04-16 20:21:46;00H 00M 00S
10332;2016-06-23;11H 55M 05S
18620;13-11-16 22:03:35;00H 00M 00S
18329;Wednesday,09 November, 2016;11:45:34
20900;21-12-16 14:28:03;00:00 AM
6502;20-04-16 11:43:35;00:00:00
12982;Aug 5 2016;12:49 PM
6436;Monday,18 April, 2016;19:52:25
3146;2016-02-22;15H 55M 09S
14786;Sun 04-Sep-2016;18:44 PM
4479;Thu 17-Mar-2016;13:33 PM
20707;18-12-16 12:58:20;00H 00M 00S
6060;Apr 12 2016;17:00 PM
4079;2016-03-10;14:36 PM
17925;Nov 1 2016;19H 41M 12S
14100;Tue 23-Aug-2016;17:30 PM
4142;Friday,11 March, 2016;15:36 PM
592;10-01-16 17:41:55;00:00:00
